Район,Тип,Дата и время  пожара 
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-21 10:15:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2015-05-21 13:25:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-21 16:20:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-05-21 18:30:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-22 09:10:00
Чусовской ГО ,"Внезапное обрушение зданий, сооружений, пород ",2015-05-22 16:30:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-23 09:10:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-05-23 11:45:00
Сивинский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-24 09:32:00
Верещагинский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-25 08:20:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-25 08:28:00
Оханский ГО,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-05-25 09:20:00
Краснокамский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-05-25 12:18:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2015-05-25 13:22:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-25 15:00:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2015-05-25 18:30:00
Юсьвинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-26 11:05:00
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-26 20:05:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-27 08:35:00
Пермский ГО ,Аварии на электроэнергетических системах ,2015-05-27 22:20:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-28 11:30:00
Пермский МО ,Загрязнения окружающей среды ,2015-05-28 16:45:00
Нытвенский ГО ,Пожар с гибелью 2-х и более человек ,2015-05-28 18:55:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-05-28 19:56:00
Гайнский МО,Лесные пожары ,2015-05-30 13:30:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-05-31 07:20:00
Пермский ГО ,Аварии с выбросом или сбросом (угрозой выброса) АХОВ ,2015-05-31 14:20:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-06-01 16:40:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-06-02 01:00:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-06-02 01:38:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-06-02 07:15:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-06-02 11:44:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-06-04 10:00:00
Уинский МО ,Аварии с выбросом или сбросом (угрозой выброса) АХОВ ,2015-06-04 11:40:00
Чердынский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2015-06-04 15:50:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-06-05 09:10:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-06-05 11:36:00
Еловский МО ,Аварии на электроэнергетических системах ,2015-06-05 16:22:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-06-06 09:20:00
Пермский ГО ,Загрязнения окружающей среды ,2015-06-06 10:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-06-06 10:50:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-06-07 06:10:00
Бардымский МО ,Аварии на электроэнергетических системах ,2015-06-08 15:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-06-08 15:20:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2015-06-08 17:30:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2015-06-08 18:25:00
Уинский МО ,Аварии на электроэнергетических системах ,2015-06-08 19:00:00
Чусовской ГО ,Аварии на электроэнергетических системах ,2015-06-09 10:00:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-06-09 10:11:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2015-06-09 11:00:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-06-09 11:40:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-06-09 18:30:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-06-09 19:00:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2015-06-09 19:17:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-06-09 19:50:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2015-06-11 08:14:00
