year,month,day,t
2016,январь,15,-9.0
2017,январь,15,-8.0
2018,январь,15,-10.0
2019,январь,15,-9.0
2020,январь,15,-6.0
2021,январь,15,-20.0
2022,январь,15,-11.5
2023,январь,15,-10.5
среднемноголетняя температура,январь,16,-10.714285714285714
2009,январь,16,-6.0
2010,январь,16,-25.0
2011,январь,16,-10.0
2012,январь,16,-8.0
2013,январь,16,-16.0
2014,январь,16,-11.0
2015,январь,16,0.0
2016,январь,16,-12.0
2017,январь,16,-20.0
2018,январь,16,-7.0
2019,январь,16,-7.0
2020,январь,16,-2.0
2021,январь,16,-10.0
2022,январь,16,-16.0
2023,январь,16,-14.0
среднемноголетняя температура,январь,17,-11.857142857142858
2009,январь,17,-12.0
2010,январь,17,-25.0
2011,январь,17,-15.0
2012,январь,17,-10.0
2013,январь,17,-25.0
2014,январь,17,-9.0
2015,январь,17,-1.0
2016,январь,17,-18.0
2017,январь,17,-15.0
2018,январь,17,-7.0
2019,январь,17,-4.0
2020,январь,17,-1.0
2021,январь,17,-11.0
2022,январь,17,-13.0
2023,январь,17,-6.5
среднемноголетняя температура,январь,18,-12.785714285714286
2009,январь,18,-12.0
2010,январь,18,-22.0
2011,январь,18,-18.0
2012,январь,18,-4.0
2013,январь,18,-20.0
2014,январь,18,-11.0
2015,январь,18,-1.0
2016,январь,18,-14.0
2017,январь,18,-15.0
2018,январь,18,-13.0
2019,январь,18,-9.0
2020,январь,18,-7.0
2021,январь,18,-24.0
2022,январь,18,-9.0
2023,январь,18,-9.0
среднемноголетняя температура,январь,19,-11.821428571428571
2009,январь,19,-15.0
2010,январь,19,-17.0
2011,январь,19,-20.0
2012,январь,19,-8.0
2013,январь,19,-18.0
2014,январь,19,-15.0
2015,январь,19,-2.0
2016,январь,19,-4.0
2017,январь,19,-15.0
2018,январь,19,-15.0
2019,январь,19,-4.0
2020,январь,19,-5.0
2021,январь,19,-23.0
2022,январь,19,-4.5
2023,январь,19,-11.0
среднемноголетняя температура,январь,20,-11.5
2009,январь,20,-10.0
2010,январь,20,-22.0
2011,январь,20,-23.0
2012,январь,20,-12.0
2013,январь,20,-8.0
2014,январь,20,-14.0
2015,январь,20,-15.0
2016,январь,20,-5.0
2017,январь,20,-5.0
2018,январь,20,-20.0
2019,январь,20,-7.0
2020,январь,20,-1.0
2021,январь,20,-15.0
2022,январь,20,-4.0
2023,январь,20,-11.0
среднемноголетняя температура,январь,21,-12.357142857142858
2009,январь,21,-13.0
2010,январь,21,-23.0
2011,январь,21,-23.0
2012,январь,21,-11.0
2013,январь,21,-6.0
2014,январь,21,-10.0
2015,январь,21,-12.0
2016,январь,21,-3.0
2017,январь,21,-10.0
2018,январь,21,-19.0
2019,январь,21,-12.0
2020,январь,21,-6.0
2021,январь,21,-18.0
2022,январь,21,-7.0
2023,январь,21,-8.0
среднемноголетняя температура,январь,22,-12.642857142857142
2009,январь,22,-9.0
2010,январь,22,-21.0
2011,январь,22,-18.0
2012,январь,22,-12.0
2013,январь,22,-4.0
2014,январь,22,-11.0
2015,январь,22,-18.0
2016,январь,22,-10.0
2017,январь,22,-11.0
2018,январь,22,-16.0
2019,январь,22,-11.0
2020,январь,22,-2.0
2021,январь,22,-23.0
2022,январь,22,-11.0
2023,январь,22,-9.5
среднемноголетняя температура,январь,23,-14.107142857142858
2009,январь,23,-4.0
2010,январь,23,-25.0
2011,январь,23,-20.0
2012,январь,23,-15.0
2013,январь,23,-10.0
2014,январь,23,-14.0
2015,январь,23,-25.0
2016,январь,23,-8.0
2017,январь,23,-8.0
2018,январь,23,-12.0
2019,январь,23,-17.0
2020,январь,23,-4.0
2021,январь,23,-23.0
2022,январь,23,-12.5
2023,январь,23,-11.0
среднемноголетняя температура,январь,24,-14.857142857142858
2009,январь,24,-5.0
2010,январь,24,-21.0
2011,январь,24,-22.0
2012,январь,24,-16.0
2013,январь,24,-12.0
2014,январь,24,-20.0
2015,январь,24,-20.0
2016,январь,24,-10.0
